HabCode_B,UKHab,Ukhab_name,Distinctiveness,technical_difficulty_creation,length_good,length_fairly_good,length_moderate,length_fairly_poor,length_poor
A1,w,Woodland and forest,4,1,30+,25,15,7,5
A11,w1,Woodland and forest - Broadleaved mixed and yew woodland,4,1,30+,25,15,7,5
A11/A2,w1,Woodland and forest - Broadleaved mixed and yew woodland,4,1,30+,25,15,7,5
A11_AW,w1,Woodland and forest - Broadleaved mixed and yew woodland,4,1,30+,25,15,7,5
A111,w1 37,Woodland and forest - Broadleaved mixed and yew woodland; semi-natural woodland,4,1,30+,25,15,7,5
A111/A2,w1 37,Woodland and forest - Broadleaved mixed and yew woodland; semi-natural woodland,4,1,30+,25,15,7,5
A112,w1g7 36,Woodland and forest - Other broadleaved woodland types; plantation,4,1,30+,25,15,7,5
A112/A2,w1g7 36,Woodland and forest - Other broadleaved woodland types; plantation,4,1,30+,25,15,7,5
A11-O,w1g7 36,Woodland and forest - Other broadleaved woodland types; plantation,4,1,30+,25,15,7,5
A112o_T,w1g7 36,Woodland and forest - Other broadleaved woodland types; plantation,4,1,30+,25,15,7,5
A112o,w1g7 36,Woodland and forest - Other broadleaved woodland types; plantation,4,1,30+,25,15,7,5
A12,w2,Woodland and forest - Coniferous woodland,2,1,30+,30+,30,10,5
A12/A2,w2,Woodland and forest - Coniferous woodland,2,1,30+,30+,30,10,5
A12_AW,w2,Woodland and forest - Coniferous woodland,2,1,30+,30+,30,10,5
A121,w2 37,Woodland and forest - Coniferous woodland; semi-natural,2,1,30+,30+,30,10,5
A121/A2,w2 37,Woodland and forest - Coniferous woodland; semi-natural,2,1,30+,30+,30,10,5
A122,w2c,Woodland and forest - Other coniferous woodland,2,1,30+,30+,30,10,5
A122/A2,w2c,Woodland and forest - Other coniferous woodland,2,1,30+,30+,30,10,5
A13,w1h,Woodland and forest - Other woodland; mixed,4,1,30+,30+,30,10,5
A13/A2,w1h,Woodland and forest - Other woodland; mixed,4,1,30+,30+,30,10,5
A131,w1h 37,Woodland and forest - Other woodland; mixed; Semi-natural woodland,4,1,30+,30+,30,10,5
A131/A2,w1h 37,Woodland and forest - Other woodland; mixed; Semi-natural woodland,4,1,30+,30+,30,10,5
A132,w1h 36,Woodland and forest - Other woodland; mixed; plantation,4,1,30+,30+,30,10,5
A132/A2,w1h 36,Woodland and forest - Other woodland; mixed; plantation,4,1,30+,30+,30,10,5
A2,h3h,Heathland and shrub - Mixed scrub,4,1,10,7,5,3,1
A21,h3h,Heathland and shrub - Mixed scrub,4,1,10,7,5,3,1
A22,h3h,Heathland and shrub - Mixed scrub,4,1,10,7,5,3,1
A2m,h3h,Heathland and shrub - Mixed scrub,4,1,10,7,5,3,1
A3,w 20,Woodland and forest - Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A31,w1 20,Woodland and forest - Broadleaved mixed and yew woodland; Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A31/A2,w1 20,Woodland and forest - Broadleaved mixed and yew woodland; Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A32,w2 20,Woodland and forest - Coniferous woodland; Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A32/A2,w2 20,Woodland and forest - Coniferous woodland; Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A33,w1h 20,Woodland and forest - Other woodland; mixed; Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A33/A2,w1h 20,Woodland and forest - Other woodland; mixed; Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A3p,w 20,Woodland and forest - Wood-pasture and parkland,8,0.1,30+,30+,30+,25,10
A41,w1 53,Woodland and forest - Broadleaved mixed and yew woodland; Felled,6,1,30+,Not Possible,Not Possible,Not Possible,Not Possible
A42,w2 53,Woodland and forest - Coniferous woodland; Felled,6,1,30+,Not Possible,Not Possible,Not Possible,Not Possible
A43,w1h 53,Woodland and forest - Other woodland; mixed; Felled,6,1,30+,Not Possible,Not Possible,Not Possible,Not Possible
Au_SN,w1h 37,Woodland and forest - Other woodland; mixed; Semi-natural woodland,4,1,30+,30+,30,10,5
B/C31,g3c 16,Grassland - Other neutral grassland; Tall herb,2,1,30+,25,20,15,10
B11,g1a 80,Grassland - Lowland dry acid grassland; Unmanaged,4,0.33,30+,25,20,15,10
B11a,g1a 80,Grassland - Lowland dry acid grassland; Unmanaged,4,0.33,30+,25,20,15,10
B11m,g1a 80,Grassland - Lowland dry acid grassland; Unmanaged,4,0.33,30+,25,20,15,10
B12,g1a 77,Grassland - Lowland dry acid grassland; Neglected,4,0.33,30+,25,20,15,10
B21,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
B22,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
B31,g2a,Grassland - Lowland calcareous grassland,6,0.33,20,15,10,8,5
B32,g2a 77,Grassland - Lowland calcareous grassland; Neglected,6,0.33,20,15,10,8,5
B4,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B4/Bu,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B4/J11,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B4/J11Urb,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B4f,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B4Urb,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B5,f2b,Wetland - Purple moor grass and rush pastures,8,0.33,30,25,20,15,10
B5/B(u),f2b,Wetland - Purple moor grass and rush pastures,8,0.33,30,25,20,15,10
B5/E3/F,f2b,Wetland - Purple moor grass and rush pastures,8,0.33,30,25,20,15,10
B5/E3/F/H2,f2b,Wetland - Purple moor grass and rush pastures,8,0.33,30,25,20,15,10
B5/E3/F/H2_Bu,f2b,Wetland - Purple moor grass and rush pastures,8,0.33,30,25,20,15,10
B6,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B6/J3,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
B6/J3Urb,u1d,Urban - Suburban/mosaic of developed/natural surface,2,1,7,5,4,2,1
Bu,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu/A11(A2),g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu/A112,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu/A12,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu/A122,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A1/A2,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A11,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A11/A2,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A112,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A12,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A2/A3,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A2/A31,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A31,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_A32,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu_Au,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bu1,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu1/A11(A2),g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
"Bu1/A11,A2",g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu1/A112,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu1/A12,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu1/A122,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu1/A2,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
"Bu1/A2,A3",g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu1/Bu2,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu1/Bu2Urb,g3a,Grassland - Lowland meadows,8,0.33,15,12,10,8,5
Bu2,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Bui,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
BuiUrb,g4,Grassland - Modified grassland,2,1,7,5,4,2,1
Buu,g3c,Grassland - Other neutral grassland,4,1,10,7,5,3,2
Buu/C31,g3c 16,Grassland - Other neutral grassland; Tall herb,2,1,30+,25,20,15,10
C11,g1c,Grassland - Bracken,2,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
C12,g1c 12,Grassland - Bracken; Scattered,2,1,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
C31,g3c 16,Grassland - Other neutral grassland; Tall herb,2,1,30+,25,20,15,10
C31rv,g3c 16,Grassland - Other neutral grassland; Tall herb,2,1,30+,25,20,15,10
C32,g3c 17,Grassland - Other neautral grassland; Ruderal/ephemeral,2,1,30+,25,20,15,10
C3u,g3c 16,Grassland - Other neutral grassland; Tall herb,2,1,30+,25,20,15,10
D,h,Heathland and shrub,6,0.33,30+,25,20,15,10
D/E,h,Heathland and shrub,6,0.33,30+,25,20,15,10
D/E/Bu/I,h,Heathland and shrub,6,0.33,30+,25,20,15,10
D/I,h,Heathland and shrub,6,0.33,30+,25,20,15,10
D/I1,h,Heathland and shrub,6,0.33,30+,25,20,15,10
D_B5/E3/F/H2,h1a7,Heathland and shrub - Wet heathland with cross-leaved heath; lowland,6,0.33,30+,25,20,15,10
D11,h1a,Heathland and shrub - Lowland heathland,6,0.33,30+,25,20,15,10
D12,h1,Heathland and shrub - Dwarf shrub heath,6,0.33,30+,25,20,15,10
D1u,h1,Heathland and shrub - Dwarf shrub heath,6,0.33,30+,25,20,15,10
D2,h1a7,Heathland and shrub - Wet heathland with cross-leaved heath; lowland,6,0.33,30+,25,20,15,10
D3,h1a,Heathland and shrub - Lowland heathland,6,0.33,30+,25,20,15,10
D4,h1c,Heathland and shrub - Mountain heaths and willow scrub,8,0.33,30+,30+,25,23,15
D5,h1a5,"Heathland and shrub - Dry heaths, lowland",6,0.33,30+,25,20,15,10
D5/Au,h1a5,"Heathland and shrub - Dry heaths, lowland",6,0.33,30+,25,20,15,10
D5/D6,h1a5,"Heathland and shrub - Dry heaths, lowland",6,0.33,30+,25,20,15,10
D5_Au,h1a5,"Heathland and shrub - Dry heaths, lowland",6,0.33,30+,25,20,15,10
D5_Bu_Au,h1a5,"Heathland and shrub - Dry heaths, lowland",6,0.33,30+,25,20,15,10
D5h,h1a5,"Heathland and shrub - Dry heaths, lowland",6,0.33,30+,25,20,15,10
D5h_A2,h1a5,"Heathland and shrub - Dry heaths, lowland",6,0.33,30+,25,20,15,10
D6,h1a7,Heathland and shrub - Wet heathland with cross-leaved heath; lowland,6,0.33,30+,25,20,15,10
Du,h,Heathland and shrub,6,0.33,30+,25,20,15,10
E161,f1b5,Wetland - Active raised bogs,8,0.1,30+,30+,30,20,15
E162,f1b5,Wetland - Active raised bogs,8,0.1,30+,30+,30,20,15
E17,f1b6,Wetland - Degraded raised bog,8,0.1,30+,30+,30,20,15
E18,f1b6,Wetland - Degraded raised bog,8,0.1,30+,30+,30,20,15
E1u,f1,Wetland - Bog,8,0.1,30+,30+,30,20,15
E1u (Au),f1,Wetland - Bog,8,0.1,30+,30+,30,20,15
E2/E3/F1,f2 128/129,Wetland - Fen marsh and swamp; Spring/flush,8,0.33,30,25,20,15,10
E21,f2 135,Wetland - Fen marsh and swamp; Acid substrate,8,0.33,30,25,20,15,10
E22,f2 134,Wetland - Fen marsh and swamp; Base-rich substrate,8,0.33,30,25,20,15,10
E3/F1,f2,Wetland - Fen marsh and swamp,8,0.33,30,25,20,15,10
E31,f2 187,Wetland - Fen marsh and swamp; Valley fen,8,0.33,30,25,20,15,10
E32,f2 179,Wetland - Fen marsh and swamp; Basin fen,8,0.33,30,25,20,15,10
E33,f2 180,Wetland - Fen marsh and swamp; Flood plain fen,8,0.33,30,25,20,15,10
E3u,f2,Wetland - Fen marsh and swamp,8,0.33,30,25,20,15,10
E4,f2,Wetland - Fen marsh and swamp,8,0.33,30,25,20,15,10
F1,f2 173,Wetland - Fen marsh and swamp; Swamp,8,0.33,30,25,20,15,10
Fu,f2 173,Wetland - Fen marsh and swamp; Swamp,8,0.33,30,25,20,15,10
G,r1,Rivers and lakes - Standing open water and canals,4,1,10,7,5,3,1
G16,t2g5,Marine inlets and transitional waters - Saline lagoons,6,0.67,10,8,5,3,1
G1u,r1,Rivers and lakes - Standing open water and canals,4,1,10,7,5,3,1
G26,t2g5,Marine inlets and transitional waters - Saline lagoons,6,0.67,10,8,5,3,1
Gt,t2g5,Marine inlets and transitional waters - Saline lagoons,6,0.67,10,8,5,3,1
G2u,r2,Rivers and lakes - Rivers and streams,4,1,10,7,5,3,1
G3,t2g5,Marine inlets and transitional waters - Saline lagoons,6,0.67,10,8,5,3,1
H11,t2,Marine inlets and transitional waters - Littoral sediment,6,0.33,5,4,3,2,1
H12,t,Marine inlets and transitional waters,4,0.67,4,2,1,1,1
H13,t1d,Marine inlets and transitional waters - Estuarine rocky habitats,6,0.33,13,8,4,2,1
H1,t,Marine inlets and transitional waters,4,0.67,4,2,1,1,1
H1u,t,Marine inlets and transitional waters,4,0.67,4,2,1,1,1
H1ua,t,Marine inlets and transitional waters,4,0.67,4,2,1,1,1
H24,t2a5,Marine inlets and transitional waters - Glasswort and other annuals colonising mud and sand,6,0.33,3,2,1,1,1
H26,t2a6,Marine inlets and transitional waters - Cord-grass swards,6,0.33,3,2,1,1,1
H2u,t2a,Marine inlets and transitional waters - Coastal saltmarsh,6,0.33,3,2,1,1,1
H3,s3b,Sparsely vegetated land - Coastal vegetated shingle,6,0.1,5,4,3,2,1
H3/H5,s3b,Sparsely vegetated land - Coastal vegetated shingle,6,0.1,5,4,3,2,1
H3/H6u,s3b,Sparsely vegetated land - Coastal vegetated shingle,6,0.1,5,4,3,2,1
H3/H5/H6,s3b,Sparsely vegetated land - Coastal vegetated shingle,6,0.1,5,4,3,2,1
H4,s2a,Sparsely vegetated land - Maritime cliff and slopes,6,0.33,20,15,10,7,5
H64,s3a,Sparsely vegetated land - Coastal sand dunes,6,0.1,20,15,10,7,5
H65,s3a7,Sparsely vegetated land - Dune grassland,6,0.33,20,15,10,7,5
H66,s3a,Sparsely vegetated land - Coastal sand dunes,6,0.1,20,15,10,7,5
